year,month,day,region,iso_country_code,total_visits,total_devices_seen,total_home_visits,total_home_visitors
2021,1,4,ALL,,47349597,16061075,20898563,13099693
2021,1,4,ALL_CA,CA,752645,335874,422611,291280
2021,1,4,ALL_US,US,46596952,15725789,20475952,12808413
2021,1,4,ab,CA,106795,46964,57445,41533
2021,1,4,ak,US,50582,19981,21704,15417
2021,1,4,al,US,1322089,401294,562173,335062
2021,1,4,ar,US,730647,224314,314182,183443
2021,1,4,as,US,9,9,7,7
2021,1,4,az,US,898266,305893,367901,240826
2021,1,4,bc,CA,113962,45124,54020,38020
2021,1,4,ca,US,3427645,1263553,1467093,1020066
2021,1,4,co,US,708422,245173,277839,183661
2021,1,4,ct,US,347888,138556,172082,109794
2021,1,4,dc,US,33827,20108,0,0
2021,1,4,de,US,114490,45848,54272,34853
2021,1,4,fl,US,3818267,1182105,1510545,903316
2021,1,4,ga,US,2135190,664672,899714,536445
2021,1,4,gu,US,6244,3393,4374,3167
2021,1,4,hi,US,178669,53428,60721,41046
2021,1,4,ia,US,619382,204091,277733,164165
2021,1,4,id,US,216853,76947,93695,60969
2021,1,4,il,US,1700120,640563,786554,506605
2021,1,4,in,US,1115233,385463,511924,308445
2021,1,4,ks,US,547330,185587,248045,149122
2021,1,4,ky,US,752260,258273,337063,205585
2021,1,4,la,US,969417,298872,411511,241130
2021,1,4,ma,US,560228,234467,273356,177849
2021,1,4,mb,CA,37611,16914,21656,14558
2021,1,4,md,US,614841,248164,290731,192040
2021,1,4,me,US,128006,48372,64679,39970
2021,1,4,mi,US,1271053,475223,624879,391321
2021,1,4,mn,US,664387,260722,317092,206237
2021,1,4,mo,US,1210308,397905,525405,320574
2021,1,4,mp,US,14,14,14,14
2021,1,4,ms,US,730493,224046,309335,183221
2021,1,4,mt,US,115308,40234,47538,30901
2021,1,4,nb,CA,11142,4958,6262,3917
2021,1,4,nc,US,1691269,565756,763763,462097
2021,1,4,nd,US,121885,40990,52364,31286
2021,1,4,ne,US,367392,121639,162763,97235
2021,1,4,nh,US,149811,60339,74279,47301
2021,1,4,nj,US,1054557,408172,519712,329965
2021,1,4,nl,CA,7822,3198,4989,2873
2021,1,4,nm,US,184193,73560,81904,54915
2021,1,4,ns,CA,14614,6188,7932,5135
2021,1,4,nt,CA,517,227,304,197
2021,1,4,nu,CA,158,92,119,79
2021,1,4,nv,US,404293,136387,147889,100977
2021,1,4,ny,US,1885035,737681,871717,559001
